userid,track,artist,genre,city,time,day
A1749681,Downfall,The Voss,dance,Shelbyville,20:07:58,Monday
2A35001B,Can You Feel the Love Tonight,Disney Peaceful Piano,instrumental,Shelbyville,21:51:37,Friday
CDB46D40,Renaissance,Soeur Sourire,jazz,Shelbyville,21:29:36,Friday
FEB69A12,Show Must Go On,Best Instrumentals,pop,Shelbyville,09:00:15,Friday
F97CDA4,Destination Unknown,Pseudo Echo,electronic,Shelbyville,14:43:12,Monday
FD21300B,Sometimes You've Got to Take the Hardest Line,Maïak,post,Shelbyville,09:18:23,Wednesday
B103C670,When I Was Your Man,Kriss Ramirez,pop,Shelbyville,14:42:11,Monday
80E3B0C5,Flamingo,Kero Kero Bonito,electronic,Shelbyville,14:44:54,Wednesday
1DA07AA4,Cardi B,Money Man,hiphop,Shelbyville,14:02:14,Monday
38841E51,Me Myself & Hyde,Ice Nine Kills,posthardcore,Shelbyville,21:39:54,Monday
CCD46819,Narcos,FOrΣvΣrT,hiphop,Shelbyville,09:20:38,Wednesday
76A07278,Vaiduokliai,Alina Orlova,local,Shelbyville,09:06:01,Friday
E5E63D4D,Kingpin,RL Grime,electronic,Shelbyville,09:33:26,Wednesday
A8D1AC2F,Aya Doesn't Like the Garlic Bros.,Sweatshop Boys,punk,Shelbyville,21:35:08,Monday
E1BD98,love,Dean,rnb,Shelbyville,20:10:59,Wednesday
26CA5CBB,Babes,Icky Blossoms,rock,Shelbyville,08:14:43,Wednesday
B5B48EC1,Lighter,Sound of the Future,reggae,Shelbyville,20:52:20,Friday
C9FAC244,151,Dr Fresch,electronic,Shelbyville,14:54:28,Wednesday
9A133297,Cold Heart,KAI,rusrap,Shelbyville,14:32:56,Friday
407E9D9D,tossing and turning,Arlie,alternative,Shelbyville,21:56:35,Wednesday
B16E75A7,Hey,Kel,ruspop,Shelbyville,08:07:51,Monday
1F8A1E92,Best Behaviour,Louisa Johnson,pop,Shelbyville,13:22:29,Monday
A7C0968B,Solo andata,Canzoniere Grecanico Salentino,world,Shelbyville,13:59:41,Friday
932FD583,Rimnicu (chant de Noël Roumain),Christmas Hits,ruspop,Shelbyville,09:43:48,Friday
9FEAB619,Push,Rawthang,electronic,Shelbyville,13:09:56,Wednesday
710EB9E9,Is This Real?,Wipers,punk,Shelbyville,20:42:53,Monday
3A7594B0,Just One Look,Doris Troy,rnb,Shelbyville,21:10:23,Wednesday
E9106B06,Time to Kill,The Rescues,rock,Shelbyville,09:27:16,Monday
1A9D91C3,Sia,H'sao,world,Shelbyville,20:25:39,Monday
12E4B4A4,Tokyo Bay,Japanese Traditional Music Ensemble,world,Shelbyville,21:43:13,Monday
3801428C,Empty Hearted,Designer Drugs,dance,Shelbyville,13:32:32,Wednesday
646049D0,Theme For The Eulipions,Rahsaan Roland Kirk,jazz,Shelbyville,20:52:12,Friday
2DD07C66,Don't Hate the Pain Hate the Game,Phobia,punk,Shelbyville,13:32:26,Friday
D2BED4BC,Double Cup,DJ Rashad,electronic,Shelbyville,20:24:08,Wednesday
957D349E,I'm In the Mood (feat. Cheryl Beattie),Wayne Jones,jazz,Shelbyville,14:28:03,Monday
20F4ECCA,La Hora Del Tiempo,Monocordio,salsa,Shelbyville,08:40:36,Monday
56A524F5,Olympians,Fuck Buttons,postrock,Shelbyville,13:45:29,Monday
EB23736E,Lady From The Lake,Mike Rowland,ambient,Shelbyville,13:21:04,Monday
E9B9AC50,Blow x Anna Kova,Mim,dance,Shelbyville,09:13:04,Friday
1CA0CEFB,Atlanta Misses You Tonight,Katiah,pop,Shelbyville,20:25:45,Wednesday
109A4BF7,Dance Sing Fight,Arborea,folk,Shelbyville,20:08:43,Friday
2523A570,Done,Sasha Holiday,dance,Shelbyville,20:33:15,Friday
8E7577C5,Let the Magic Unfold,unknown,dance,Shelbyville,20:30:38,Friday
3A6BABDC,Never on Sunday,Helmut Zacharias,classical,Shelbyville,21:22:42,Friday
2D746723,Single for Tonight (feat. Flo Rida & Jamie Drastik),DJ Suss One,pop,Shelbyville,21:19:43,Monday
DB74523F,She is Like The Wind - Dirty Dancing,Films Movie,film,Shelbyville,20:45:28,Monday
8AD9F645,Krispy Kreme,Smokepurpp,rap,Shelbyville,20:08:29,Friday
2751E751,Don't Disappear,Zara Arshakian,dance,Shelbyville,13:28:37,Wednesday
DA68613E,Come Baby Come,K7,electronic,Shelbyville,08:37:07,Friday
2042FD83,"Everybody Wants to Be a Cat (From ""Aristocats"")",Copy Cats,soundtrack,Shelbyville,21:46:31,Friday
4A9A94F7,Lessgo,unknown,dance,Shelbyville,08:21:07,Wednesday
5AC43F96,Ivory,Polyphia,progmetal,Shelbyville,14:37:10,Wednesday
8C3A6F08,Minimal Tech Ferry,Doktor Loop,minimal,Shelbyville,20:43:45,Wednesday
F6095E39,Cómo Duele el Silencio,Leslie Grace,tropical,Shelbyville,21:45:15,Friday
899B9F90,You're Not Alone,Meredith Andrews,contemporary,Shelbyville,21:24:26,Wednesday
593918C,Another Story,The Head And The Heart,film,Shelbyville,13:50:14,Friday
239B6D90,The Road to Epoli,Evin Wolverton,folk,Shelbyville,09:08:58,Monday
729DEBB8,Go Again,Khari Mateen,soul,Shelbyville,08:18:02,Monday
88DB8CFC,Nowhere to Run,Martha Reeves,rnb,Shelbyville,14:00:41,Wednesday
BB97B242,Piano Trio No. 1 Op. 8,Trio Dmitrij,classical,Shelbyville,14:26:39,Monday
D969A532,The Rhythm Of The Night,Corona,electronic,Shelbyville,14:41:32,Friday
B7CC7D58,Only 4 U,Rivergazer,electronic,Shelbyville,09:53:40,Monday
98D27958,Coumba,Orchestra Baobab,world,Shelbyville,20:19:00,Monday
1D62998B,A Melody,George Duke,jazz,Shelbyville,08:14:39,Friday
C3A4BB1,Since When,Young Nudy,hiphop,Shelbyville,13:40:49,Friday
D2CE494E,Rave City (Feat. MC Rage),Noize Suppressor,electronic,Shelbyville,20:55:47,Wednesday
8C7DEA9A,Steam Machine,Culture Shock,dance,Shelbyville,20:40:48,Wednesday
7D166C63,unknown,unknown,jazz,Shelbyville,20:29:53,Wednesday
BFED5C40,Istanbul's night,Devaldi,electronic,Shelbyville,09:14:43,Wednesday
8F8E6D60,Freakin' Funky,unknown,electronic,Shelbyville,21:04:10,Monday
F6CBEB44,Dreams,DaBoyDame,hiphop,Shelbyville,21:04:54,Friday
41C784DE,Terrorist,The Mayan Factor,rock,Shelbyville,21:06:01,Wednesday
38F2D76F,Nothing Is Written,unknown,videogame,Shelbyville,09:56:49,Friday
A6D1C345,WONDERFUL WORLD,Eric Donaldson,reggae,Shelbyville,13:48:51,Wednesday
6215F9FA,Unforgettable,unknown,jazz,Shelbyville,09:14:17,Wednesday
FFB692EC,Bells,Seth Lakeman,world,Shelbyville,09:29:59,Monday
3348B341,Have a Cigar,Hände Frei,electronic,Shelbyville,20:02:11,Friday
C58AD827,Abandon Ship,Greek Fire,rock,Shelbyville,20:08:39,Friday
FB8E3AF7,Village Dance,Blackmore's Night,hard'n'heavy,Shelbyville,13:12:09,Monday
7A4EC9EF,Over U,Ali Bakgor,electronic,Shelbyville,09:04:08,Friday
1A7E7204,These Lights,unknown,dance,Shelbyville,09:21:17,Wednesday
5AD137F2,Living Water,Alob,spiritual,Shelbyville,08:10:36,Monday
E1178A6A,"Symphonie en Ré majeur ""Il giorno onomastico"": Allegro quasi Presto",unknown,classical,Shelbyville,09:08:11,Friday
BC10CA6A,L'arlesienne Act V: Choeur II,Consort of London,classical,Shelbyville,20:50:28,Friday
9AD9D7B4,Tell Her This,Del Amitri,rock,Shelbyville,14:00:01,Wednesday
AE5FBDEE,Everest,Ra Ra Riot,indie,Shelbyville,20:30:32,Friday
E0E4AB86,Because of You (Voice),Preservation Hall Jazz Band,classical,Shelbyville,09:18:47,Friday
2B237699,Timantit on ikuisia,Cheek,hiphop,Shelbyville,20:38:55,Monday
A6EB5846,SUPERLUV,Shane Dawson,pop,Shelbyville,21:31:01,Monday
5117469E,4 the Norte,Weech Lok,rap,Shelbyville,08:30:50,Friday
14349FBD,Rosé High,Marenikae,urban,Shelbyville,21:44:22,Wednesday
8F8095A3,Drop That Nae Nae,We Are Toonz,rap,Shelbyville,09:56:36,Wednesday
186E125C,Dançando Lambada (Caribeño),Banda do Lambada Brasileña,latin,Shelbyville,22:00:27,Monday
2EDB07E1,unknown,unknown,rock,Shelbyville,08:51:13,Friday
7F24931F,Bombo,Adelén,pop,Shelbyville,14:09:33,Friday
BB9AFF0E,737,Sean Sahand,electronic,Shelbyville,13:24:32,Friday
8830C1CD,Donde Vas Cardenalito,Jose Gonzalez and Banda Criolla,holiday,Shelbyville,20:59:36,Friday
A9D65CB2,Cold War,The Vapors,pop,Shelbyville,14:58:50,Friday
3B5AD8F3,Dangerous,DJ Pippi,electronic,Shelbyville,21:21:04,Wednesday
8A1C6FD5,White Rabbit,Grace Slick,rock,Shelbyville,14:57:12,Wednesday
2BFB470,The One For Me,Cloud 19,videogame,Shelbyville,14:58:57,Wednesday
AFA11C8F,Brand,Kartvelli,ruspop,Shelbyville,13:56:42,Friday
18B3FE7D,Fine Girl,ZieZie,pop,Shelbyville,13:22:38,Wednesday
2A68D62C,Oups,Mermonte,pop,Shelbyville,09:30:41,Wednesday
970A2DEE,Godbody,Joey Purp,hiphop,Shelbyville,20:39:59,Monday
9048E27C,All of Me,The George Benson Quartet,pop,Shelbyville,21:16:27,Wednesday
498CC0C8,You Can Run,Adam Jones,rock,Shelbyville,08:11:00,Friday
CF05862C,Led Er Din Sang,unknown,world,Shelbyville,13:46:17,Monday
946AB26,Fate Escape,Gladenfold,rock,Shelbyville,08:56:25,Monday
9B1CF097,Come Back,Tre' No,hiphop,Shelbyville,10:00:35,Friday
4D9CDA51,Hallelujah,Lisa,pop,Shelbyville,08:39:04,Friday
C4800B0F,Gedenk,unknown,rusrock,Shelbyville,09:55:10,Monday
CA88AF3B,Healing,Love Eternal,reggae,Shelbyville,13:23:43,Wednesday
684D7D58,Voodoo Child,Rogue Traders,pop,Shelbyville,20:24:25,Monday
9CCF9A39,AMMO,Mnogoznaal,rusrap,Shelbyville,14:35:49,Friday
32FEB45,All Roads To Fault,YOURCODENAMEIS:MILO,posthardcore,Shelbyville,14:30:42,Monday
63D250F7,The Kraft,Ottokraft,electronic,Shelbyville,21:42:25,Wednesday
A36FF56C,HMS Pinafore (or The Lass that Loved a Sailor) Act I: A British tar is a soaring soul (Ralph Boatswain Boatswain's Mate Sailors),Richard Lewis/James Milligan/John Cameron/Owen Brannigan/Glyndebourne Chorus/Peter Gellhorn/Pro Arte Orchestra/Sir Malcolm Sargent,classical,Shelbyville,13:04:03,Friday
7C61935E,Glory,David Crosby,rock,Shelbyville,13:31:10,Friday
E5E63D4D,Forget,Patrick Topping,dance,Shelbyville,21:24:27,Monday
A38B5021,unknown,unknown,dance,Shelbyville,13:01:03,Monday
67CCAD73,Treat You Better,RÜFÜS,electronic,Shelbyville,13:53:16,Wednesday
BCCC21B6,I'm Alone,unknown,electronic,Shelbyville,13:44:21,Monday
340E1AE,When You Are Near,Carolina Liar,pop,Shelbyville,09:21:02,Friday
8C006103,Prime Time,unknown,rusrap,Shelbyville,09:57:30,Wednesday
BED6E7BA,Seeing Is Believing,Paul Pritchard,soundtrack,Shelbyville,14:03:34,Friday
16DEBF2E,Cutting Teeth,Trophy Eyes,alternative,Shelbyville,09:52:23,Friday
DC631141,The Prodigy,Sirplus,hiphop,Shelbyville,21:15:54,Monday
6E2534E6,Alligator Woman,Alligators,rock,Shelbyville,21:31:12,Monday
3C9C3276,Sex Drugs Rock & Roll,Drug Flash,rusrock,Shelbyville,20:38:34,Wednesday
3CBD7FCA,Gong,Cathedral,rock,Shelbyville,14:51:55,Friday
59E800AB,Some Sunsick Day,Morgan Delt,progressive,Shelbyville,21:39:49,Monday
8E929482,ERA,Madwave,dance,Shelbyville,14:24:00,Wednesday
DB9A8414,Vacation,Mari Iijima,pop,Shelbyville,13:18:01,Wednesday
FC41E5AB,Lekha Dodi,unknown,ambient,Shelbyville,09:46:26,Monday
1B806F4E,Shades,Alexandra Savior,indie,Shelbyville,14:35:15,Wednesday
8E1535F4,Girls & Boys,Project Weekend Sound,dance,Shelbyville,09:35:45,Monday
81656A08,Conmigo Tú Te Vas,unknown,dance,Shelbyville,13:25:27,Monday
B8CE9845,Valley Clouds,Iron & Wine,indie,Shelbyville,13:43:18,Monday
3EA2D62F,Kyrr,Kontinuum,progmetal,Shelbyville,09:26:12,Monday
EEB2FA4F,Dynamite,Günther,dance,Shelbyville,13:37:22,Monday
CC89E12A,Romance de Barrio,Gerardo Leonardi,latin,Shelbyville,14:51:17,Friday
A6454A12,Eyes Ripping Fire,Danzig,rock,Shelbyville,21:09:20,Wednesday
2B88B7AA,GoodTime (feat. Lorine Chia & Machine Gun Kelly),E-V,dance,Shelbyville,21:13:41,Monday
1DA16F14,Evstatie protopsaltul aliluia 2,unknown,world,Shelbyville,08:43:33,Wednesday
E15DB55,Shining Lights,Janosh,dance,Shelbyville,20:08:04,Wednesday
FA8AB69E,L'Esercito Degli Angeli,Toto Cutugno,estrada,Shelbyville,20:41:48,Wednesday
B692F0D1,Run the City,Anja Schneider,techno,Shelbyville,13:24:40,Friday
4654AC93,Take Your Time,Tay Watts,singer,Shelbyville,13:50:21,Monday
E1178A6A,Blame It On Yourself,mezzo,urban,Shelbyville,09:08:44,Friday
D9838D,Kaltes Wasser,Moritz Garth,pop,Shelbyville,20:18:03,Wednesday
DF549AD3,G Code,Skrazey Beatz,hiphop,Shelbyville,20:27:41,Wednesday
C8AF03B0,Hey,Kel,ruspop,Shelbyville,20:27:28,Friday
8DCCECAC,Mia Khalifa,JPOPD1,hiphop,Shelbyville,08:20:41,Monday
B103C670,For the Time Being,unknown,electronic,Shelbyville,08:41:56,Wednesday
10189D10,Kontra krusadanto,Dochamar,pop,Shelbyville,14:34:24,Monday
FEAF7C64,So Long,MALFA,ruspop,Shelbyville,20:07:32,Wednesday
E97C805C,High with You,The Ware,dance,Shelbyville,20:36:27,Monday
CF509D79,Lied ohne Worte in F-Sharp Minor Op. 67/2,Khatia Buniatishvili,classical,Shelbyville,14:42:56,Monday
1E5CA8BB,"City of Stars (From the Movie ""La La Land"")",Cast Soundtrack,pop,Shelbyville,08:15:54,Wednesday
DC992700,Il canto degli affamati,Il Muro del Canto,rock,Shelbyville,09:48:47,Wednesday
F8EC3101,Wahe Guru Wahe Jio,Yoginroll,electronic,Shelbyville,13:52:51,Friday
95A7A8E8,Why-Magistral (Why),unknown,electronic,Shelbyville,09:08:25,Wednesday
1F91E557,Clementine,Sarah Jaffe,folk,Shelbyville,13:27:43,Friday
54CFA212,Aloha Hawaii,The Kalua Beach Boys,world,Shelbyville,14:23:01,Friday
5C525738,Dance of the Mirlitons,The People's Liberation Big Band of Greater Kansas City,jazz,Shelbyville,20:46:25,Friday
C3D8C437,Marafanyi (feat. Mybaby),Blondi,world,Shelbyville,20:58:33,Monday
1260ED3E,Throw It Down,Dominique Young Unique,dance,Shelbyville,09:31:37,Wednesday
91D91B2A,Friends,Farida,urban,Shelbyville,21:58:06,Monday
7767879B,Oblivion,Enea Leone & Roberto Bongianino,classical,Shelbyville,21:19:03,Monday
6CEB5568,Last Christmas,unknown,dance,Shelbyville,13:38:20,Monday
6E2534E6,Heart It Races,Dr Dog,rock,Shelbyville,21:21:48,Monday
D3E1FF76,Peaceful Place,MFVgroup,ambient,Shelbyville,21:25:48,Wednesday
385AAEBE,Synthesizers,unknown,rock,Shelbyville,20:36:08,Friday
CF0FAC0C,Blaze And Fade Out,unknown,electronic,Shelbyville,09:51:02,Friday
456603CD,Ase Me Na Figo,Les Au Revoir,pop,Shelbyville,21:53:08,Friday
AA3651C,Object of Your Desire,Amber,black,Shelbyville,21:05:22,Monday
3581900D,Raga,Zigadoo Moneyclips,pop,Shelbyville,14:45:05,Wednesday
32369921,It's Gonna Be A Lovely Day,S.O.U.L. S.Y.S.T.E.M.,film,Shelbyville,13:13:20,Monday
32481EE4,Confidenziale,Mina,pop,Shelbyville,13:39:20,Friday
CD19801F,Pull marine,Nouveau en ville,pop,Shelbyville,09:10:42,Friday
871F1C10,Necronomicon,unknown,rusrap,Shelbyville,20:40:18,Wednesday
3A4A3D02,Mhm Mhm,unknown,pop,Shelbyville,14:38:54,Friday
BC50807E,Criminal Minds,Iron Cross,punk,Shelbyville,14:10:54,Monday
9B751C0B,(How Much Is) That Doggie in the Window,Patti Page,pop,Shelbyville,13:33:21,Wednesday
29E6B1CF,Among Them,Dreamy,electronic,Shelbyville,14:25:07,Monday
3E2B5AF0,Dee Dee & the Vegetable Cake,Henning Pertiet,blues,Shelbyville,21:38:05,Monday
AB4DE152,I Wanna Be Myself,Don Laka,disco,Shelbyville,13:21:53,Monday
54C3583A,Purrfect,Funki Porcini,electronic,Shelbyville,20:58:39,Monday
3D884239,Dead Time,Painted Black,metal,Shelbyville,13:32:16,Friday
9814F40F,Tempted to Touch,Zaeden,house,Shelbyville,20:53:00,Wednesday
835FCB78,Surprise Party,BOLDY JAMES,hiphop,Shelbyville,21:47:08,Monday
658F5719,I Want You (She's So Heavy),Alvin Lee,rock,Shelbyville,14:19:58,Friday
5D256504,unknown,unknown,unknown,Shelbyville,13:19:42,Monday
8151C9C,Into the Pain,New Disorder,metal,Shelbyville,14:26:51,Friday
8B28C40B,Shit Talking Creep,Mykki Blanco,hiphop,Shelbyville,09:45:45,Wednesday
D74F5201,The Mad Arab,Mercyful Fate,extrememetal,Shelbyville,13:30:54,Wednesday
DF59F50E,I Will Follow You into the Dark,SayWeCanFly,pop,Shelbyville,14:13:01,Monday
8D10EF4B,Bizarre Love Triangle,Frente!,pop,Shelbyville,14:37:43,Monday
44ABCB2B,Pit Warrior,Sunrise Skater Kids,punk,Shelbyville,21:21:18,Wednesday
FFF05D6C,Fly High,Me & My,pop,Shelbyville,14:59:38,Friday
DFD129F8,You're the Top,Diana Panton,jazz,Shelbyville,20:43:52,Friday
3914DB03,Mad World,Jive Bunny,pop,Shelbyville,09:35:40,Friday
FBDD0EDE,Serene Study,ConcentrationMusic,world,Shelbyville,13:33:55,Friday
625A67F7,Complete,Danglo,dance,Shelbyville,09:16:11,Monday
749F04C5,Bolero A Marcos,Vicente Amigo,pop,Shelbyville,08:32:07,Wednesday
F41C78EA,Smoke Bomb,Datsik,dance,Shelbyville,21:13:13,Monday
E123DA6E,Seq and You Shall Find,AK/DK,dance,Shelbyville,21:49:10,Monday
4947F4AE,Bad Timing,Markus Anthony,deep,Shelbyville,13:35:21,Friday
9E2C9E74,The Lizard King,Adnan Jakubovic,dance,Shelbyville,08:22:43,Friday
A126F361,Incredible Voyage,Yunton Beach,electronic,Shelbyville,14:30:24,Monday
10101201,Always Something There To Remind Me,Naked Eyes,rock,Shelbyville,14:57:44,Wednesday
F256FBE3,Love Prisoner,unknown,dance,Shelbyville,09:22:32,Wednesday
93ECB8B9,I Hope You Dance,Lee Ann Womack,pop,Shelbyville,13:58:06,Monday
F68B7902,Not This Time,The 2 Bears,electronic,Shelbyville,13:05:33,Wednesday
AD6E2689,Snake Bite,Eliminate,dubstep,Shelbyville,09:20:27,Monday
2B987A62,See Any Time,Kingpheezle,world,Shelbyville,13:19:12,Friday
8151C9C,Goodnight,Dry Kill Logic,numetal,Shelbyville,13:50:25,Friday
FBBA2096,& U 2,Viper,hiphop,Shelbyville,09:12:23,Wednesday
E37FBC0D,Que Nadie Sepa de Mi Sufrir,Jean Pierre Pascal,world,Shelbyville,21:27:04,Friday
10F7E9D0,unknown,unknown,pop,Shelbyville,20:23:14,Wednesday
1A661B90,Novocaine,Fog Lake,rock,Shelbyville,14:02:04,Wednesday
5CFB5F7B,Goodbye Stranger,Supertramp,rock,Shelbyville,13:11:52,Monday
E913223B,Summer Rain,I Blame Coco,alternative,Shelbyville,09:09:08,Wednesday
72127EF5,Respect Yourself,Gerald Albright,jazz,Shelbyville,13:33:54,Wednesday
F774B02A,Blue Moon,The Marcels,rock,Shelbyville,20:50:50,Wednesday
1AE1E347,Nasty Boy,Imperial Leisure,punk,Shelbyville,20:10:13,Friday
3E28C17F,It's Christmas,Jon Peter Lewis,holiday,Shelbyville,08:02:23,Friday
4E012F4C,"Kabhi Khushi Kabhie Gham (From ""Kabhi Khushi Kabhie Gham"")",Jatin-Lalit,soundtrack,Shelbyville,14:50:10,Friday
C93E4983,Destiny,Zero 7,pop,Shelbyville,14:56:03,Wednesday
D065CA2C,Mano a Mano,Marius Ruhland,miscellaneous,Shelbyville,13:57:55,Wednesday
934374A5,Catacombs,Among The Missing,metal,Shelbyville,14:17:52,Friday
BD253D98,Never Turn Back,Ben Moody,rock,Shelbyville,13:00:39,Wednesday
9C05E499,One Tear Away,Airbase,trance,Shelbyville,20:28:21,Wednesday
3271A69D,Gute Menschen,OK KID,hiphop,Shelbyville,20:28:07,Wednesday
66C14F89,Colpa Del Whisky,Vasco Rossi,rock,Shelbyville,20:41:14,Wednesday
951DB1D7,Concrete Couch,Scarface,rap,Shelbyville,21:42:26,Friday
6576D4B7,Kundschafterlied (1986),"Ensemble ""Klassenbrüder - Waffenbrüder"" Karl-Marx-Stadt",pop,Shelbyville,08:57:35,Monday
67421AC2,Look In My Eyes,Zkmn & Nevponyatkah,rusrap,Shelbyville,09:40:19,Friday
77153500,unknown,unknown,unknown,Shelbyville,20:16:01,Friday
39C79805,Flip It,unknown,dance,Shelbyville,09:39:26,Wednesday
D8F36F8B,All for You,The Seasons,loungeelectronic,Shelbyville,08:24:46,Friday
84C77DC1,Foe Life (Feat. Ice Cube),Mack 10,pop,Shelbyville,20:19:16,Wednesday
D531FD61,Dynamita,Cally Roda,ruspop,Shelbyville,08:09:28,Wednesday
B4DAA989,Subaru,unknown,rusrap,Shelbyville,20:57:04,Monday
F7E760F2,Midwest Rock (Play Along for Drums),Drum! Drum! Drum!,rock,Shelbyville,13:38:10,Wednesday
7DFA509A,unknown,unknown,unknown,Shelbyville,21:53:47,Monday
66D4D414,Mama Told Me Not to Come,Vital Fire,rock,Shelbyville,09:12:50,Monday
798C1929,Bye Bye Blackbird,unknown,jazz,Shelbyville,14:55:12,Wednesday
143A3AAF,Bistro Fada,Stephane Wrembel,folk,Shelbyville,14:21:27,Friday
9B0D58C5,Great Summer,Vance Joy,folk,Shelbyville,13:06:39,Friday
69F6171E,Change Of Heart,LoFi Chill,instrumental,Shelbyville,08:51:24,Friday
E20BA94E,Going Back,Real Bodrit,rusrock,Shelbyville,20:14:17,Friday
6F1A754D,0% Finance,GZA/Genius,hiphop,Shelbyville,08:13:25,Friday
195C60A4,Where the Love Goes,Anjulie feat. Oskar Flood,dance,Shelbyville,14:09:18,Friday
65E1F522,I Lose My Mind,Disco Rouge,dance,Shelbyville,13:57:01,Monday
BF6EDFA4,Sweet Dreams,Baby Music,children,Shelbyville,21:48:23,Monday
4A2C4FC6,Gravestation,Transport League,numetal,Shelbyville,20:04:32,Wednesday
D939EE66,Sons of Anarchy,Mad Max,rock,Shelbyville,13:43:11,Wednesday
D920F808,Chase the Sun,Planet Funk,electronic,Shelbyville,09:57:47,Friday
34493642,La Drecera,Kalabranda,rock,Shelbyville,08:05:23,Monday
E76EC22C,Epic Scrap Metal,Bigbang,rock,Shelbyville,09:47:47,Monday
AB995937,Not Alright,Smile Empty Soul,alternative,Shelbyville,21:25:40,Wednesday
CE836C7,Boy Nauf Rachok,Eliko,world,Shelbyville,14:38:57,Monday
73480E30,Onnellisia vuosia,Yö,pop,Shelbyville,21:57:58,Wednesday
BE1F66D1,Growling Swell,White Noise Meditation,ambient,Shelbyville,10:00:05,Wednesday
543C695F,This'll Be My Year,Train,pop,Shelbyville,13:14:46,Wednesday
4B236283,Blue Skies,Rocky Gresset,jazz,Shelbyville,09:18:02,Monday
D1E44CBC,Fall Apart,1208,alternative,Shelbyville,13:25:07,Friday
F0DF4E1B,Our House,Solomon Childs,hiphop,Shelbyville,09:45:20,Monday
81993211,Water Flow,Klyne,electronic,Shelbyville,21:47:15,Wednesday
6CDAC1BD,The Search The Scheme (feat. Ryan Kirby),A Faylene Sky,rock,Shelbyville,20:13:01,Wednesday
B62C59EA,Sigure,unknown,dance,Shelbyville,21:19:04,Friday
3158CBE9,Armstrong Blues,Willy Best,easy,Shelbyville,21:30:57,Friday
AC6CF5B8,Prettiest Ones Fly Highest,Fryars,alternative,Shelbyville,21:31:36,Monday
94625F5B,Inside,Dre Guazzelli,world,Shelbyville,21:20:41,Wednesday
FE8565AB,Ali Maula,Salim-Sulaiman,soundtrack,Shelbyville,20:26:27,Monday
F33FA8C,Hotel California,Rafha Madrid,electronic,Shelbyville,09:27:01,Monday
B5D7FFC9,Woman Like That,Airbourne,rock,Shelbyville,13:27:41,Wednesday
466BBD9E,String Quartet No. 1 In C Major Op. 49: Allegretto Molto,Aviv String Quartet,classical,Shelbyville,20:14:52,Wednesday
DF7BDF98,Lovesong,I am Bones,alternative,Shelbyville,13:36:40,Monday
2AD78C04,Ollie Ollie,Flatfoot 56,punk,Shelbyville,08:42:52,Monday
ACC1591A,666MPH,Bong-Ra,dnb,Shelbyville,21:41:26,Wednesday
41E28BBC,Why Don't You,Ascio,deep,Shelbyville,09:30:48,Friday
837A6906,Crucify Me,Primal Fear,hard'n'heavy,Shelbyville,14:53:53,Wednesday
C53C85EC,Feel It,Abdessalam L'artiste,world,Shelbyville,08:30:29,Monday
9081EB6B,take your time,Josh Pan,rnb,Shelbyville,09:34:48,Friday
E22630DE,Flyaway Garden,Breakfast In Fur,alternative,Shelbyville,20:15:48,Wednesday
FA2242D3,Motherland,Fiordmoss,electronic,Shelbyville,13:06:33,Wednesday
77936DA3,CARA A CARA,Mártires Del Compás,world,Shelbyville,13:44:40,Monday
392DD394,Valse du trésor Op. 418,unknown,classical,Shelbyville,10:00:05,Friday
